subitem,subject,item,transciption
2-15,2,15,the church in the giant crosses was always lit
3-17,3,17,the waitress by the impatient...person... needed the money
3-22,3,22,the trainer for the confident…person…helped him out
3-24,3,24,the camera with the special manuals wasn’t working
3-18,3,18,the table by the antique chairs was really old
3-2,3,2,the cake with the candy figurine was delicious
3-8,3,8,the fortress with the ancient wall was crumbling
3-21,3,21,the guitar near the faculty string…was broken
3-11,3,11,the banana near the popular…sandwiches…was weird
3-10,3,10,the vase near the vibrant covers is pretty
3-15,3,15,the church near the giant…driveway… made loud sounds
3-14,3,14,the caddy near the charismatic celebrity was helpful
3-5,3,5,the tent with the sturdy poles... did not collapse
3-9,3,9,the butler for sel-the selfish millionaires was really sad
3-23,3,23,the canoe with the weathered flagsss is very old
3-4,3,4,the coach for the disciplined athletes trained them hard
3-16,3,16,the eraser near the novelty pencils works well
3-6,3,6,the dam for theee murky rivers… was very…steep
3-7,3,7,the necklace with the colorful diamond was really pretty
3-20,3,20,the hydrant near the bent house was out of order
3-12,3,12,the bodyguard near the nervous jewelers…was doing his job
3-1,3,1,the e-envelope for the photo album was ripped
3-19,3,19,the resort near the elongated pool was very tropical
3-13,3,13,the bicycle by the warped basket was broken
3-3,3,3,the hammer for the rigid pegs was lost
4-10,4,10,the vase with the vibrant flower cracked
4-16,4,16,the eraser near the novelty pen is missing
4-4,4,4,the coach for the disruptive teenager ejected him from the basketball game
4-23,4,23,the canoe near the weathered oar is made of pine
4-5,4,5,the tent with the sturdy cushion is deflated
4-15,4,15,the church near the giant driveways is open today
4-21,4,21,the guitar near the faulty strings…(uh)… still sounds good
4-22,4,22,the trainer near the confident boxer was excited
4-17,4,17,the waitress by the impatient…uh…customer was impatient also
4-1,4,1,the envelope for the photo albums was tarnished
4-19,4,19,the resort near the elong--near the elongated pools was extravagant
4-13,4,13,the bicycle by the warped baskets was stolen
4-2,4,2,the cake with the candy figurines is for sale
4-20,4,20,the hydrant near the bent hoses... is open
4-12,4,12,the bodyguard for the nervous actress was protective
4-14,4,14,the caddy near the charismatic celebrities... did his job well
4-6,4,6,the dam for the musty factory…uh…is weathering
4-3,4,3,the hammer for the rigid pegs is missing
4-11,4,11,the banana for the popular ssssunday makes it popular
4-8,4,8,the fortress with the ancient walls has never beennnn infiltrated
4-7,4,7,the necklace with the colorful diamonds has been stolen
4-9,4,9,the butler for the selfish millionaires quit his job
4-24,4,24,the camera by the special lens is broken
4-18,4,18,the table by the antique lamp is also for sale
5-15,5,15,the church was with the giant cross…on the top
5-10,5,10,the vase with the vibrant flowers were pink
5-1,5,1,the envelope by the formal letter was sealed
5-17,5,17,the waitress by the i-the impatient seniors helped them
5-12,5,12,the bodyguard for the nervous actress protected her
5-23,5,23,they came near the weather cars…I don't know yellow
5-19,5,19,the resort near the elaborate garden was beautiful
5-6,5,6,the dam for the-for..uh…(participant speaks to experimenter)…green
5-21,5,21,the guitar near the faulty pedal…broke
5-16,5,16,the eraser near the novelty pens was yellow
5-5,5,5,the tent with the steady cushions was beige
5-20,5,20,the hydrant near the bright reflector was red
5-22,5,22,the trainer near the confident boxers was…black
5-13,5,13,the bicycle with the…. warped tire was black
5-4,5,4,the coach with the destructive teenagers told them to stop talking
5-14,5,14,the caddy for the charistic (sic) golfers was young
5-24,5,24,the camera by the special lenses was expensive
5-7,5,7,the necklace with the colorful feather was bright orange
5-18,5,18,the table by the antique…desk was…broken
5-8,5,8,the fortress with the ancient farm was old
5-3,5,3,the hammer by the rusty nail was orange
5-11,5,11,the banana for the popular sssun dress was… yellow
5-2,5,2,the cake by the colored candle was orange
5-9,5,9,the butler for the spoiled kid was nice
6-21,6,21,the guitar near the faulty…X
6-18,6,18,the table for the antique chair was brown
6-20,6,20,the hydrant near the bright reflectors was red
6-12,6,12,the bodyguard for the ne-nervous jeweler protected her
6-6,6,6,the dam by the murky river was blocked
6-14,6,14,the caddy for th-something golfers I don't know
6-13,6,13,the bicycle with the warped tires…didn't work properly
6-1,6,1,the envelope by the formal letters…I don't know
6-3,6,3,the hammer by the rusty nails…was green
6-15,6,15,the church with the giant crosses was a catholic church
6-16,6,16,the eraser for the novelty pencil…was…um very effective
6-7,6,7,the necklace with the colorful feathers was worn by the crazy teacher
6-19,6,19,the resort near the elaborate gardens was very expensive
6-22,6,22,the trainer near the confident actor…um…skip
6-2,6,2,the cake by the colored candles tasted delicious
6-8,6,8,the fortress with the ancient faaaarms was large
6-9,6,9,the butler for the spoiled kids did not like them
6-4,6,4,the coach near the disciplined athlete…was encouraging him
6-24,6,24,the camera by the special manual was brand new
6-5,6,5,the tent near the sturdy pole…was…I don't know
6-10,6,10,the vase with the vibrant colors had pretty flowers inside it
6-17,6,17,the waitress for the impatient diner…got a small tip
6-11,6,11,the banana for the popular sandwich… was rotten
6-23,6,23,the canoe near the uh…skip…X
7-22,7,22,the trainer ne-near the confident actors…asked them to behave more emotionally
7-17,7,17,the waitress from th-for the impatient diners…dropped food on one of the patrons
7-8,7,8,the fortress near the ancient wall kept the dragons out
7-23,7,23,the canoe near the weathered…flags…carries people across the river
7-21,7,21,the guitar with the faulty string broke and hit someone in the eye
7-7,7,7,the necklace near the colorful diamond was said to be cursed
7-10,7,10,the vase with the vibrant flowers fell over and smashed
7-24,7,24,the camera by the special manuals recorded everybody's motions
7-20,7,20,the hydrant with the bent hose was useless
7-13,7,13,the bicycle with the warped basket…hit a crack and…flipped over
7-14,7,14,the caddy for the charismatic celebrity…was treated awfully
7-11,7,11,the banana for the popular sandwiches…is going extinct
7-2,7,2,the cake by the candy figurine…is chocolate
7-5,7,5,the tent near the sturdy poles blew over in the wind
7-3,7,3,the hammer by the rigid peg…bent
7-4,7,4,th coach nea-near the disciplined athletes did not have to yell at them
7-6,7,6,the dam by the murky rivers... was covered in pollution
7-16,7,16,the careers(sic) by the novelty…pencilists(sic) were limited
7-19,7,19,the resort with the elongated pool also had a poolside bar
7-1,7,1,the envelope by the photo album was filled with more photos
7-18,7,18,the table for the antique chairs…went missing several years ago
7-15,7,15,the church with the giant driveway… had a very small altar
7-9,7,9,the butler near the selfish millionaire decided to spill his secrets to the press
7-12,7,12,the bodyguard for the ne-nervous jewelers… protected them from theft
8-12,8,12,the bodyguard near the nervous actress was tall
8-21,8,21,the guitar with the faulty strings was working
8-20,8,20,the hydrant with the bent hoses wasn't working
8-7,8,7,the necklace near the colorful diamonds was expensive
8-17,8,17,the waitress for the impatient senior was nice
8-18,8,18,the table for the antique lamp was old
8-9,8,9,the butler near the selfish millionaires was poor
8-5,8,5,the tent near the sturdy cushion was tall
8-14,8,14,the caddy for the charismatic celebrities was nice
8-15,8,15,the church with the giant driveways is beautiful
8-8,8,8,the fortress near the ancient walls was nice
8-23,8,23,the canoe with the weathered oar wasn't working
8-19,8,19,the resort with the elongated pools is crowded
8-24,8,24,the camera with the special lens is expensive
8-3,8,3,the hammer by the rigid pegs is heavy
8-1,8,1,the envelope by the photo albums is sealed
8-22,8,22,the trainer for the confident boxer was excited
8-11,8,11,the banana near the popular sundae is delicious
8-4,8,4,the coach near the disruptive teenager yelled at him
8-6,8,6,the dam by the musty factory has water
8-2,8,2,the cake by the candy figurines is really good
8-10,8,10,the vase near the vibrant flower is broken
8-16,8,16,the eraser for the novelty pen…is useless
8-13,8,13,the bicycle with the warped baskets still works
9-12,9,12,the b-bodyguard near the nervous disaster was scared
9-16,9,16,the eraser for the novelty pens was awful
9-4,9,4,the coach near the disruptive teenagers made them go to detention
9-20,9,20,the hydrant was bright reflector of red
9-11,9,11,the banana near the popular sundaes was spoiled
9-15,9,15,the church near the giant cross was beautiful
9-22,9,22,the trainer for the confident boxerssss thought he had a win on his hands
9-21,9,21,the guitar with the faulty pedal made the band lose their gig
9-19,9,19,the report was elaborately…X
9-5,9,5,the tent near the sturdy cushions was fun to play in
9-10,9,10,the vas-the vase near the vibrant flowers…was beautiful
9-13,9,13,the bicycle by the warped tire was ugly
9-24,9,24,the camera with the special lenses... took very beautiful pictures
9-14,9,14,the candy….X
9-8,9,8,the fortress near the ancient farm was discovered by the scientist
9-2,9,2,the cake with the colored candle was for the girl's birthday
9-6,9,6,the dam by the mis…..X
9-3,9,3,the hammer for the rusty nail was used to hammer something else
9-1,9,1,the envelope wit-the envelope for the formal letter was addressed to jane 
9-7,9,7,the necktie necklace um no…X
9-18,9,18,the table for the antique lamps was colorful
9-17,9,17,the waitress for the impatient serversss w-was getting impatient herself
9-9,9,9,the butler near the spoiled kid wanted to deck him
9-23,9,23,the canoe with the weathered oars was not very useful
10-16,10,16,the eraser near the noveltyyyyy….X
10-13,10,13,the bicycle by the warped tires…..X
10-19,10,19,the resort with the elaborate….X
10-9,10,9,the butler near the spoiled kids scolded them
10-23,10,23,the canoe with the weathered flag sunk
10-2,10,2,the cake with the colored candles was melting
10-11,10,11,the banana near the popular sandwich….X
10-4,10,4,the coach for the disciplined athlete was bad
10-5,10,5,the tent with the sturdy pole broke
10-12,10,12,the bodyguard near the ne-nervous jeweler…was strict
10-22,10,22,the trainer for the confident actor was strict
10-18,10,18,the table by the antique chair was broken
10-3,10,3,the hammer for the rusty nails wa-was broken
10-8,10,8,the fortress near the ancient farms was crumbling
10-15,10,15,the church near the giant crosses was old
10-21,10,21,the guitar with the faulty…X
10-7,10,7,the necklace near the colorful feathers was pretty
10-24,10,24,the camera with the special manual was complex
10-1,10,1,the envelope for the formal letters was decorative
10-10,10,10,the vase near the vibrant coverrr was arrrtsy
10-14,10,14,the caddy near the…X
10-20,10,20,the hydrant with the bright reflectors was hit
10-6,10,6,the dam for the murky river broke
10-17,10,17,the waitress by the impatient diner was mad
11-5,11,5,the tent with the sturdy…structure fell
11-9,11,9,the butler for the selfish millionaire decided to quit
11-19,11,19,the resort near the pool was very nice
11-3,11,3,the hammer for the rigid peg was broken
11-13,11,13,the bicycle by the warped basket was broken
11-24,11,24,the camera with the special manuals was difficult to operate
11-2,11,2,the cake with the candy figurine was delicious
11-14,11,14,the caddy near the charismatic celebrity…was excited
11-23,11,23,the canoe with the weathered flags was hard to move
11-11,11,11,the banana near the popular sandwiches tasted great
11-6,11,6,the dam for the murky rivers broke
11-18,11,18,the table by the antique chairs had a bad leg
11-8,11,8,the fortress with the ancient wall was a stronghold
11-12,11,12,the bodyguard near the nervous jewelers made everyone around him scared
11-15,11,15,the church near the giant driveway was a great place to go on Sunday
11-20,11,20,the hydrant near the bent hose spewed water
11-22,11,22,the trainer for the confident actors knew what was best
11-16,11,16,the eraser near the novelty pencils worked great
11-4,11,4,the coach for the disciplined athletes was an expert in the sport
11-7,11,7,the necklace with the colorful diamond was worth a lot of money
11-21,11,21,the guitar near the faulty string couldn't be used
11-10,11,10,the vase near the vibrant... Flowers was great
11-1,11,1,the envelope for the photo album was ripped in half
11-17,11,17,the waitress by the impatient diner decided to quit her job
12-22,12,22,the trainer near the confident boxer was muscular
12-3,12,3,the hammer for the rigid pegs was blue
12-14,12,14,the caddy near the charismic(sic) celebrities was cool
12-11,12,11,the banana for the popular sundae was large
12-19,12,19,the resort near the elongated pools was very nice
12-20,12,20,the hydrant near the bent hoses was broken
12-8,12,8,the fortress with the ancient walls crumbled
12-16,12,16,the eraser near the novelty pen was pink
12-2,12,2,the cake with the candy figurines was very delicious
12-5,12,5,the tent with the sturdy cushion was comfortable
12-6,12,6,the dam for the musty factory was broken
12-21,12,21,the guitar near the faulty strings... wasss horrible sounding
12-12,12,12,the bodyguard for the nervous actress got paid a lot
12-23,12,23,the canoe near the weathered…x
12-24,12,24,the camera by the special lens was very expensive
12-10,12,10,the vase with the vibrant flower was brand new
12-4,12,4,the coach for the disruptive teenager…was angry
12-13,12,13,the bicycle by the wrapped(sic) baskets was pink
12-1,12,1,the envelope for the photo albums was ripped
12-18,12,18,the table by the antique lamp was also an antique
12-9,12,9,the butler for the selfish millionaires was frustrated
12-7,12,7,the necklace with the colorful diamonds was worn by catherine
12-15,12,15,the church near the giant driveways was full
12-17,12,17,the waitress by the impatient senior tapped her foot
13-15,13,15,the church with the giant cross…had a lot of people inside
13-12,13,12,the bodyguard with the-for the nervous actress was standing tall
13-6,13,6,the dam (unclear) musty…wood was filled
13-3,13,3,the hammer by the rusty nail was used to build the house
13-5,13,5,the tent with the sturdy cushions was full of people
13-18,13,18,the table with the antique lamps was for sale
13-10,13,10,the vase with the vibrant flowers was delivered today
13-14,13,14,the caddy from the cameristic(sic)... something…X
13-20,13,20,the hydrant nearrr the house was full of water
13-19,13,19,the res-resort near the beach was very nice
13-9,13,9,the butler with th-for the spoiled kid…didn't like him
13-24,13,24,the camera by the special lenses were useful
13-16,13,16,the eraser near the novelty pass…was gone
13-2,13,2,the cake by the colored candle was eaten
13-22,13,22,the trainer near the confident boxers yelled at them
13-11,13,11,the banana for the popular sundaes was always used
13-17,13,17,the waitress by the impatient customersss had a breakdown
13-13,13,13,the bicycle with the wrapped tire was broken
13-4,13,4,…X
13-7,13,7,the necklace with the colorful feather was always worn
13-8,13,8,the fortress with the ancient…throne was…old
13-23,13,23,the canoe near the weathered oar-with the weathered oars never worked
13-1,13,1,the envelope by the formal letter was very important
13-21,13,21,the guitar near the f-faulty pedal never worked
14-19,14,19,the resort near the elaborate gardens was beautiful
14-16,14,16,the eraser for th-for the novelty pencil worked very well
14-6,14,6,the dam by the mucky(sic) river was huge
14-14,14,14,the caddy for the charismatic golfers is blue
14-7,14,7,the necklace with the color feathers was ally's
14-23,14,23,the cano(sic)…X
14-2,14,2,the cake by the colored with the colored candles was johnny's
14-22,14,22,the trainer near the confident actor was called…mike
14-4,14,4,the coach near the disciplined atlete(sic) athlete was great
14-3,14,3,the hammer by the rusty nails was broken
14-17,14,17,the waitress for the impatient di-diner was exasperated
14-5,14,5,the tent near the steady pole sturdy pole was green
14-10,14,10,the vase with the vibrant color was amazing
14-11,14,11,the banana f…X
14-20,14,20,the hydrant near the…X
14-21,14,21,the guitar near the faulty pe-pedals…X
14-18,14,18,the table from the ant-for the antique chair was brown
14-12,14,12,the bodyguard with…X
14-13,14,13,the bicycle with the war-warped…X
14-15,14,15,the church with the giant crosses fell over
14-8,14,8,the fortress with the ancient…X
14-9,14,9,the butler for the spoiled kids got mad
14-24,14,24,the camera by the special manual was broken
14-1,14,1,the envelope by the formal letters was open
15-11,15,11,the banana for the popular sandwiches was ripe
15-7,15,7,the necklace near the colorful diamond was… dull
15-12,15,12,the bodyguard for the nervous…jumpers…was buff
15-6,15,6,the dam by the murky rivers was dirty
15-15,15,15,the church with the giant driveway was small
15-21,15,21,the guitar with the faulty string sounded bad
15-13,15,13,the bicycle with the warped basket llleaked milk
15-23,15,23,the canoes weathered flags…(comment to experimenter)…the canoe with weathered flags was s-slow
15-4,15,4,the coach near-knew the disciplined athletes very well
15-24,15,24,the camera by the special…mammals(sic)…um…was... small
15-9,15,9,the butler near the selfish millionaire was bitter
15-2,15,2,the cake by the candle(sic) figurine was…yummy
15-17,15,17,the waitress for the impatient diners was frustrated
15-10,15,10,the vase with the vibrant covers…um…is in my basement
15-19,15,19,the resort with the elongated pool was…the nicest I've ever seen
15-20,15,20,the hydrant with the bent hose did not function properly
15-14,15,14,the caddy for the charismatic celebrity was also charismatic
15-22,15,22,the trainer near the confident…people…hmmm..was very pleased
15-5,15,5,the tent near the sturdy…tree…was safe
15-1,15,1,the envelope by the photo album…was pink
15-18,15,18,the table for the antique chairs….is long
15-16,15,16,the eraser for the novelty pencil…was…almost gone
15-8,15,8,the fortress near the accident(sic) wall…was destroyed
15-3,15,3,the hammer by the rigid peg is black
16-3,16,3,the hammer by theee river wasss rusty
16-1,16,1,the envelope by the photo albums was empty
16-2,16,2,the cake by the candy figurines was chocolate
16-19,16,19,the resort with the elongated…I missed that one too sorry
16-24,16,24,the camera with the special lens was expensive
16-9,16,9,theee butler near the selfish…I didn't read that one either sorry
16-20,16,20,the hydrant with the bent h-hoses…was broken
16-17,16,17,the waitress for the impatient senior was really friendly
16-7,16,7,the necklace near the colorful... diamonds was sparkly
16-15,16,15,the church with the giant driveways.. isss a big church
16-13,16,13,the bicycle with the warped baskets…um…isss on the side of the road
16-21,16,21,the guitar with the faulty strings is out of tune
16-6,16,6,the dam by the musty factory is polluted
16-18,16,18,the table for the antique lamp is new
16-5,16,5,the tent near the sturdy cushion…um…skip that one
16-8,16,8,the fortress near the ancient walls was older
16-10,16,10,the vase near the vibrant flower is empty
16-14,16,14,the caddy for the charismatic golfer is really shy
16-22,16,22,the trainer for the con-confident boxer…was also confident
16-4,16,4,the coach near the disruptive teenager…was angry
16-23,16,23,the canoe with the weathered oar was old
16-16,16,16,the eraser for the novelty pen…skip
16-12,16,12,the bodyguard near the nervous actor was very protective
16-11,16,11,the b-banana near the…uh missed that
17-13,17,13,the bicycle by the warped….uh…X
17-12,17,12,the bodyguard near the nervous actresses…X
17-18,17,18,the table for the antique lamps was made of wood
17-7,17,7,the necklace near the colorful feather…X
17-15,17,15,the church near the giant cross was full of people
17-10,17,10,the vase near the vibrant flowers was decorative
17-4,17,4,the couch(sic) near the disruptive teenagers
17-14,17,14,the caddy near the charismic(sic) golfer…X
17-16,17,16,the eraser for novelty pens is pink
17-11,17,11,the banana near the popular something…X
17-9,17,9,the butler near the spoiled kids…X
17-21,17,21,the guitar with the faulty pedal had to get fixed
17-3,17,3,the hammer for the rusty nail was old and also rusty
17-24,17,24,the camera with the special lenses is more expensive
17-23,17,23,the canoe with the weathered oars was also very weathered
17-20,17,20,the hydrant with the bright reflector…was used to put out fires
17-2,17,2,the cake with the colored candle was to celebrate someone's birthday
17-6,17,6,the dam by the musty factories….was…an eyesore
17-19,17,19,the resort with the elaborate gardens was visited by many people
17-8,17,8,the fortress near the ancient farm was very old
17-17,17,17,the waitress for the impatient sailors did not like her job
17-5,17,5,the tent near the sturdy cushions…X
17-22,17,22,the trainer for the confident boxers was paid very well
17-1,17,1,the envelope for the formal letters…were sent out for graduation
18-23,18,23,the canoe with the weathered flag went slowly
18-15,18,15,the church near the giant crosses…X
18-16,18,16,the eraser near the novelty pencil was small
18-5,18,5,the tent with the sturdy pole held up the campsite
18-24,18,24,the camera with the special manual told you what to do
18-14,18,14,the caddy near the charming golfers was entertaining
18-7,18,7,the necklace near the colorful feathers was expensive
18-12,18,12,the bodyguard near the nervous jeweler…..X
18-22,18,22,the trainer for the confident actor felt underused
18-1,18,1,the envelope for the formal letters was unopened
18-6,18,6,the dam for the murky river was outdated
18-10,18,10,the vase near the vibrant cover was red
18-9,18,9,the butler was near the spoiled kids scolded them
18-18,18,18,the table by the antique chair was old
18-3,18,3,the hammer for the rusty nails was also rusty
18-2,18,2,the cake with the colored candles was delicious
18-21,18,21,the guitar with the faulty pedals didn't play well
18-17,18,17,the waitress by the impatient diner didn't take the orders right
18-19,18,19,the resort with the elaborate gardens were explored
18-4,18,4,the coach for the d-disciplined athlete was (inaudible)
18-13,18,13,the bicycle with the warped tires didn't run fast
18-8,18,8,the fortress near the ancient farms was really old
18-20,18,20,the hydrant with the bright reflectors…X
18-11,18,11,the banana near the popular sandwich was spoiled
19-24,19,24,the camera with the special manuals is missing
19-12,19,12,the bodyguard near the nervous jewelers protected them
19-18,19,18,the table by the antique chairs is a set
19-22,19,22,the trainer for the confident actors helped them a lot
19-17,19,17,the waitress by the impatient..c-customers wasn't helpful
19-23,19,23,the canoe with the weathered flags was lost
19-6,19,6,the dam for the murky rivers was flooding
19-3,19,3,the hammer for the r-rigid p-peg broke
19-14,19,14,the caddy near the charismatic... golfer was friendly
19-21,19,21,the guitar near the fa-faculty string broke
19-8,19,8,the fortress with the ancient wall was historic
19-11,19,11,the banana near the popular sandwiches was rotten
19-10,19,10,the vase near the vibrant covers was cracked
19-5,19,5,the tent with the sturdy poles was the best option
19-1,19,1,the envelope for the photo album went missing
19-13,19,13,the bicycle by the warped basssket was mine
19-4,19,4,the coach for the disciplined athletes grew frustrated
19-2,19,2,the cake with the candy figurine is her favorite
19-7,19,7,the necklace with the colorful diamond…is my favorite
19-15,19,15,the church near the giant driveway is always crowded
19-19,19,19,the resort near the elongated pool is deserted
19-9,19,9,the butler for the selfish millionaire was irritable
19-16,19,16,the eraser…was n-novelty…X
19-20,19,20,the hydrant near the bent house bent hose was not working
20-9,20,9,the butler for the selfish millionaires resented his…millionaire…people
20-3,20,3,the hammer for the rigid pegs is very strong
20-13,20,13,the bicycle by the warped baskets is broken
20-19,20,19,the resort near the elongated pets…was…luxurious
20-5,20,5,the tent with the sturdy cushion was easy to set up
20-4,20,4,the coach for the disruptive regan(sic) ahhh was a good coach
20-20,20,20,the hydrant near the bent hoses was yellow
20-14,20,14,the caddy near the charismatic celebrities was happy
20-11,20,11,the banana for the popular sundae was on top of the ice cream
20-24,20,24,the camera by the special lens is a special camera
20-8,20,8,the fortress with the ancient walls is two thousand years old
20-23,20,23,the canoe near the weathered oar is my dad's
20-6,20,6,the dam for the musty factory needs to be replaced
20-12,20,12,the bodyguard for the nervous actress acted calm
20-22,20,22,the trainer for the confident boxer…loves his job
20-2,20,2,the cake with the candy fingerrrs-lings(sic) was delicious
20-17,20,17,the waitress with the impatient sector(sic) hated her job
20-18,20,18,the table by the antique lamp is a hundred years old
20-1,20,1,the envelope for the photo albums ahh is my moms
20-15,20,15,the church near the giant driveways is beautiful
20-7,20,7,the necklace with the colorful diamonds…is over a million dollars
20-10,20,10,the vase with the vibrant flower is glass
20-21,20,21,the guitar near the faulty springs er strings ahh is prone to breaking
20-16,20,16,the eraser near the novelty pan(sic) worked
21-1,21,1,the envelope by the formal letter was sealed
21-11,21,11,the banana for the popular sundaes was yummy
21-24,21,24,the camera by the special lenses was very expensive
21-10,21,10,the vase with the vibrant flowers was very colorful
21-16,21,16,the eraser near the novelty pens was red
21-8,21,8,the fortress with the ancient farm was very fancy
21-22,21,22,the trainer near the confident boxers was very in shape
21-3,21,3,the hammer by the rusty nail was very old
21-21,21,21,the guitar near the faulty pedal had broken strings
21-15,21,15,the church with the giant cross was holding mass
21-14,21,14,the caddy for the charismic(sic) golfer had brown hair
21-23,21,23,the canoe near the river was long
21-6,21,6,the dam for the musty factories was very wide
21-9,21,9,the butler for the spoiled kid was very impatient
21-18,21,18,the table by the antique lamps was beautiful
21-20,21,20,the hydrant near the bright reflector was red
21-4,21,4,the coach for the disruptive teenagers was very frustrated
21-17,21,17,the waitress by the impatient seniors was very frustrated
21-13,21,13,the bicycle with the warped tire was broken
21-12,21,12,the bodyguard for the nervous actresses was very strong
21-5,21,5,the tent with the sturdy cushions was very comfortable
21-19,21,19,the resort near the elaborate garden was very fancy
21-7,21,7,the necklace with the colorful feather was very expensive
21-2,21,2,the cake by the colored candle was chocolate
22-2,22,2,the cake was colored by candles that dripped down onto it
22-5,22,5,the tent was near the sturdy pole and it broke down
22-12,22,12,the bodyguard for the nervous jeweler was a very angry man
22-11,22,11,the banana for the popular sandwich was rotten
22-10,22,10,the vase was a vibrant color of a blue like hue
22-1,22,1,the envelope by formal letters was ripped
22-20,22,20,the hydrant near the bright reflectors was a blue color
22-8,22,8,the fortress with the ancient farms were all ruined 
22-4,22,4,the coach for the disciplined student told them that if they didn’t do well then they couldn't play
22-13,22,13,the bicycle with warped tires needed to be fixed
22-6,22,6,the damage by the murky river could not be undone
22-14,22,14,the caddy for the charismatic golfer was nice
22-18,22,18,the table for the antique chair was broken
22-15,22,15,the church with the giant cross is very unsightly
22-3,22,3,the hammer with rusty nails made it more difficult
22-19,22,19,the resort near the elaborate gardens was very ugly
22-9,22,9,the butler for the spoiled kids hated them all
22-16,22,16,the eraser for the novelty pencil broke off
22-7,22,7,the necklace with colorful feathers was really ugly
22-23,22,23,the canoe near the weathered flag needed to be fixed
22-21,22,21,the guitar near the faculty specials had a broken spring(sic)
22-24,22,24,the camera by the special…animal…was not very good
22-17,22,17,the waitress for …was impatient for dinner went and yelled at the cooks
22-22,22,22,the trainer near the confident actor became very annoyed
23-7,23,7,the necklace near the colorful diamond was brown
23-9,23,9,the butler near the shelfish(sic)…X
23-17,23,17,the waish-waitress for the impatient diners spilled their water
23-23,23,23,the canoe near the weathered flags was brown
23-24,23,24,the camera by the special manuals was expensive
23-12,23,12,the bodyguard for the nervous jewelers was very tall
23-22,23,22,the trainer near the confident doctors(sic) told them something
23-3,23,3,the hammer by the rigid peg did not hammer in the Peg
23-20,23,20,the hydrant with the bent hose did not spray water
23-4,23,4,the coach near the….X
23-14,23,14,the caddy for the charismatic celebrity drove the car
23-15,23,15,the church with the giant driveway had many cars parked in it
23-21,23,21,the guitar with the faulty string broke on stage
23-19,23,19,the resort with the elongated pool was nice
23-10,23,10,the vase with the vibrant colors was orange
23-2,23,2,the cake by the candy figurine was delicious
23-6,23,6,the dam by the murky rivers was filled with beavers
23-16,23,16,the eraser for the novelty pencils were not very good
23-18,23,18,the table for the antique chairs was very old
23-11,23,11,the banana for the popular sandwiches was yellow
23-5,23,5,the tent near the sturdy poles was not very sturdy
23-1,23,1,the envelope by the photo album was filled with old pictures
23-13,23,13,the bicycle with the warped basket did not hold many things
23-8,23,8,the fortress near the ancient wall was very old
24-14,24,14,the caddy for the charismati-charismatic celebrities….ah…carried all their golf clubs
24-6,24,6,the dam by the musty factory was old
24-5,24,5,the tent near the sturdy cushion fell over the next day
24-24,24,24,the camera with the special lens took very accurate photos
24-16,24,16,the eraser for the novelty pen didn't work as well as they thought it would
24-21,24,21,the guitar with the faulty strings needed to be tuned
24-2,24,2,the cake by the candy figurines cost twenty dollars
