subject,item,list,exp,integrated,related.x,n2num.x,text,animacy,LengthChar.Head,LengthChar.Prep,LengthChar.Adj,LengthChar.Noun,LengthPhon.Head,LengthPhon.Prep,LengthPhon.Adj,LengthPhon.Noun,LengthSylHead,LengthSyll.Prep,LengthSyll.Adj,LengthSyll.Noun,Freq1Mil.Head,FreqMil.Prep,FreqMil.Adj,FreqMil.N1,LogFr.Head,LogFreq.Prep,LogFreq.Adj,LogFreq.N1,RelatedHL,RelatedLH,Integrated,Ass..H.L,Ass..L.HP,Ass..L.HS,AssArc.H.L,AssArc.L.HP,AssArc.L.HS,Plausibility,maincode,dysfluency
21,21,5,SemRel,unint,unrel,sing,The guitar near the faulty pedal,I,6,4,6,5,5,3,5,5,2,1,2,2,15.53,59.14,1.63,1.47,1.22,1.78,0.42,0.39,4.17,5,2.63,0,0,0,0,0,0,3.75,U,
21,22,5,SemRel,unint,rel,plur,The trainer near the confident boxers,A,7,4,9,6,6,3,9,7,2,1,3,2,5.49,59.14,10.65,1.98,0.81,1.78,1.07,0.47,6.33,6,3.92,0,0,0,0,0,0,5,C,
21,24,5,SemRel,unint,rel,plur,The camera by the special lenses,I,6,2,7,6,6,2,6,6,3,1,2,2,56.9,1212.84,148.2,2.27,1.76,3.08,2.17,0.52,6.08,6.5,5.67,2.5,0,12.5,0.32,0,0.72,5,C,
36,1,4,SemRel,integ,unrel,plur,The envelope for the photo albums,I,8,3,5,6,7,3,4,6,3,1,2,2,10.04,6749.25,22.82,2.33,1.04,3.83,1.38,0.52,2.83,2.17,3.75,0,0,0,0,0,0,4.75,C,
36,2,4,SemRel,integ,unrel,plur,The cake with the candy figurines,I,4,4,5,9,3,3,5,9,1,1,2,3,44.84,5044.84,35.55,0.49,1.66,3.7,1.56,0.17,3.92,3.58,3.58,0,0,0,0,0,0,6.33,C,
36,3,4,SemRel,integ,unrel,plur,The hammer for the rigid pegs,I,6,3,5,4,5,3,5,4,2,1,2,1,10.18,6749.25,1.86,0.25,1.05,3.83,0.46,0.1,5.08,4.08,5.67,0,0,0,0,0,0,5.08,C,
36,4,4,SemRel,integ,unrel,sing,The coach for the disruptive teenager,A,5,3,10,8,4,3,9,7,1,1,3,3,29.33,6749.25,0.43,6.92,1.48,3.83,0.16,0.9,4.25,2.58,3.67,0,0,0,0,0,0,5.33,C,D
36,5,4,SemRel,integ,unrel,sing,The tent with the sturdy cushion,I,4,4,6,7,4,3,6,5,1,1,2,2,17.39,5044.84,1.69,1.86,1.26,3.7,0.43,0.46,1.92,2.08,3.67,0,0,0,0,0,0,3.25,U,
36,6,4,SemRel,integ,unrel,sing,The dam for the musty factory,I,3,3,5,7,3,3,5,7,1,1,2,3,5.29,6749.25,0.49,2.31,0.8,3.83,0.17,0.52,2,3.33,2.67,0,5,0,0,0.45,0,3.25,C,
36,7,4,SemRel,integ,rel,plur,The necklace with the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,5044.84,3.14,17.04,1.03,3.7,0.62,1.26,6.33,5.5,6.33,2.5,0,5,0.32,0,0.45,5.33,C,
36,8,4,SemRel,integ,rel,plur,The fortress with the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,24.16,0.64,3.7,1.35,1.4,6.25,6.33,6.08,0,0,0,0,0,0,6.42,U,
36,9,4,SemRel,integ,rel,plur,The butler for the selfish millionaires,A,6,3,7,12,6,3,6,10,2,1,2,3,6.8,6749.25,15.94,1.76,0.89,3.83,1.23,0.44,5.83,4.58,5.18,0,0,0,0,0,0,6.08,C,
36,10,4,SemRel,integ,rel,sing,The vase with the vibrant flower,I,4,4,7,6,3,3,7,5,1,1,2,2,3.84,5044.84,1.02,22.14,0.69,3.7,0.31,1.36,5.75,6.78,6,15,0,2.5,0.8,0,0.32,6.67,C,
36,11,4,SemRel,integ,rel,sing,The banana for the popular sundae,I,6,3,7,6,6,3,8,5,3,1,3,2,10.61,6749.25,23.22,1.59,1.06,3.83,1.38,0.41,5.08,5.75,4.5,0,0,5,0,0,0.45,6.08,C,D
36,13,4,SemRel,unint,unrel,plur,The bicycle by the warped baskets,I,7,2,6,7,8,2,4,7,3,1,1,2,6.55,1212.84,1.35,1.61,0.88,3.08,0.37,0.42,4.58,3,3.5,0,0,0,0,0,0,4.42,C,
36,14,4,SemRel,unint,unrel,plur,The caddy near the charismatic celebrities,A,5,4,11,11,4,3,10,10,2,1,4,4,2.73,59.14,0.8,7.27,0.57,1.78,0.26,0.92,2.25,1.17,2.33,0,0,0,0,0,0,5.58,C,
36,15,4,SemRel,unint,unrel,plur,The church near the giant driveways,I,6,4,5,9,6,3,5,7,1,1,2,2,68.73,59.14,20.18,0.2,1.84,1.78,1.33,0.08,1.92,2.42,2.25,0,0,0,0,0,0,5.42,C,
36,16,4,SemRel,unint,unrel,sing,The eraser near the novelty pen,I,6,4,7,3,6,3,7,3,3,1,3,1,1,59.14,1.67,23.9,0.3,1.78,0.43,1.4,4.33,3.33,2.5,0,2.5,2.5,0,0.32,0.32,4.75,U,
36,17,4,SemRel,unint,unrel,sing,The waitress by the impatient senior,A,8,2,9,6,6,2,8,5,2,1,3,2,9.67,1212.84,4.04,0.71,1.03,3.08,0.7,0.23,1.17,2.08,2.58,0,0,0,0,0,0,4.75,C,
36,18,4,SemRel,unint,unrel,sing,The table by the antique lamp,I,5,2,7,4,5,2,5,4,2,1,2,1,105.2,1212.84,4.35,12.82,2.03,3.08,0.73,1.14,5,5,4.27,0,0,10,0,0,0.64,5.92,C,
36,20,4,SemRel,unint,rel,plur,The hydrant near the bent hoses,I,7,4,5,5,8,3,4,5,2,1,1,2,1,59.14,1.02,1.08,0.3,1.78,0.31,0.32,6.33,4.27,4.5,0,0,0,0,0,0,4.58,C,
36,21,4,SemRel,unint,rel,plur,The guitar near the faulty strings,I,6,4,7,7,5,3,5,6,2,1,2,1,15.53,59.14,1.63,8.1,1.22,1.78,0.42,0.96,6.83,6.58,6.08,12.5,0,20,0.72,0,0.93,4.17,C,
36,22,4,SemRel,unint,rel,sing,The trainer near the confident boxer,A,7,4,9,5,6,3,9,6,2,1,3,2,5.49,59.14,10.65,3.82,0.81,1.78,1.07,0.68,6.64,5.67,5.36,0,0,0,0,0,0,5.33,C,
36,23,4,SemRel,unint,rel,sing,The canoe near the weathered oar,I,5,4,9,3,4,3,5,3,2,1,2,1,3.53,59.14,0.18,0.67,0.66,1.78,0.07,0.22,6.67,6.08,4.83,0,0,10,0,0,0.64,6,C,
36,24,4,SemRel,unint,rel,sing,The camera by the special lens,I,6,2,7,4,6,2,6,4,3,1,2,1,56.9,1212.84,148.2,4.67,1.76,3.08,2.17,0.75,6.75,6.58,4.83,2.5,0,20,0.32,0,0.93,5.5,C,
44,1,4,SemRel,integ,unrel,plur,The envelope for the photo albums,I,8,3,5,6,7,3,4,6,3,1,2,2,10.04,6749.25,22.82,2.33,1.04,3.83,1.38,0.52,2.83,2.17,3.75,0,0,0,0,0,0,4.75,C,
44,2,4,SemRel,integ,unrel,plur,The cake with the candy figurines,I,4,4,5,9,3,3,5,9,1,1,2,3,44.84,5044.84,35.55,0.49,1.66,3.7,1.56,0.17,3.92,3.58,3.58,0,0,0,0,0,0,6.33,C,
44,3,4,SemRel,integ,unrel,plur,The hammer for the rigid pegs,I,6,3,5,4,5,3,5,4,2,1,2,1,10.18,6749.25,1.86,0.25,1.05,3.83,0.46,0.1,5.08,4.08,5.67,0,0,0,0,0,0,5.08,C,
44,4,4,SemRel,integ,unrel,sing,The coach for the disruptive teenager,A,5,3,10,8,4,3,9,7,1,1,3,3,29.33,6749.25,0.43,6.92,1.48,3.83,0.16,0.9,4.25,2.58,3.67,0,0,0,0,0,0,5.33,C,
44,5,4,SemRel,integ,unrel,sing,The tent with the sturdy cushion,I,4,4,6,7,4,3,6,5,1,1,2,2,17.39,5044.84,1.69,1.86,1.26,3.7,0.43,0.46,1.92,2.08,3.67,0,0,0,0,0,0,3.25,U,
44,6,4,SemRel,integ,unrel,sing,The dam for the musty factory,I,3,3,5,7,3,3,5,7,1,1,2,3,5.29,6749.25,0.49,2.31,0.8,3.83,0.17,0.52,2,3.33,2.67,0,5,0,0,0.45,0,3.25,C,
44,7,4,SemRel,integ,rel,plur,The necklace with the colorful diamonds,I,8,4,8,8,6,3,8,7,2,1,3,2,9.71,5044.84,3.14,17.04,1.03,3.7,0.62,1.26,6.33,5.5,6.33,2.5,0,5,0.32,0,0.45,5.33,C,
44,8,4,SemRel,integ,rel,plur,The fortress with the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,5044.84,21.61,24.16,0.64,3.7,1.35,1.4,6.25,6.33,6.08,0,0,0,0,0,0,6.42,C,
44,9,4,SemRel,integ,rel,plur,The butler for the selfish millionaires,A,6,3,7,12,6,3,6,10,2,1,2,3,6.8,6749.25,15.94,1.76,0.89,3.83,1.23,0.44,5.83,4.58,5.18,0,0,0,0,0,0,6.08,U,
44,10,4,SemRel,integ,rel,sing,The vase with the vibrant flower,I,4,4,7,6,3,3,7,5,1,1,2,2,3.84,5044.84,1.02,22.14,0.69,3.7,0.31,1.36,5.75,6.78,6,15,0,2.5,0.8,0,0.32,6.67,C,
44,11,4,SemRel,integ,rel,sing,The banana for the popular sundae,I,6,3,7,6,6,3,8,5,3,1,3,2,10.61,6749.25,23.22,1.59,1.06,3.83,1.38,0.41,5.08,5.75,4.5,0,0,5,0,0,0.45,6.08,C,
44,12,4,SemRel,integ,rel,sing,The bodyguard for the nervous actress,A,9,3,7,7,8,3,6,6,3,1,2,2,5.71,6749.25,67.04,15.96,0.83,3.83,1.83,1.23,4.83,4.09,5.25,0,0,0,0,0,0,6.17,C,
44,13,4,SemRel,unint,unrel,plur,The bicycle by the warped baskets,I,7,2,6,7,8,2,4,7,3,1,1,2,6.55,1212.84,1.35,1.61,0.88,3.08,0.37,0.42,4.58,3,3.5,0,0,0,0,0,0,4.42,C,
44,14,4,SemRel,unint,unrel,plur,The caddy near the charismatic celebrities,A,5,4,11,11,4,3,10,10,2,1,4,4,2.73,59.14,0.8,7.27,0.57,1.78,0.26,0.92,2.25,1.17,2.33,0,0,0,0,0,0,5.58,C,
44,15,4,SemRel,unint,unrel,plur,The church near the giant driveways,I,6,4,5,9,6,3,5,7,1,1,2,2,68.73,59.14,20.18,0.2,1.84,1.78,1.33,0.08,1.92,2.42,2.25,0,0,0,0,0,0,5.42,C,
44,16,4,SemRel,unint,unrel,sing,The eraser near the novelty pen,I,6,4,7,3,6,3,7,3,3,1,3,1,1,59.14,1.67,23.9,0.3,1.78,0.43,1.4,4.33,3.33,2.5,0,2.5,2.5,0,0.32,0.32,4.75,C,
44,17,4,SemRel,unint,unrel,sing,The waitress by the impatient senior,A,8,2,9,6,6,2,8,5,2,1,3,2,9.67,1212.84,4.04,0.71,1.03,3.08,0.7,0.23,1.17,2.08,2.58,0,0,0,0,0,0,4.75,C,
44,18,4,SemRel,unint,unrel,sing,The table by the antique lamp,I,5,2,7,4,5,2,5,4,2,1,2,1,105.2,1212.84,4.35,12.82,2.03,3.08,0.73,1.14,5,5,4.27,0,0,10,0,0,0.64,5.92,U,
44,19,4,SemRel,unint,rel,plur,The resort near the elongated pools,I,6,4,9,5,6,3,9,4,2,1,4,1,6.65,59.14,0.31,2.29,0.88,1.78,0.12,0.52,6.25,6.17,3.92,0,0,0,0,0,0,5.75,C,
44,20,4,SemRel,unint,rel,plur,The hydrant near the bent hoses,I,7,4,5,5,8,3,4,5,2,1,1,2,1,59.14,1.02,1.08,0.3,1.78,0.31,0.32,6.33,4.27,4.5,0,0,0,0,0,0,4.58,C,
44,22,4,SemRel,unint,rel,sing,The trainer near the confident boxer,A,7,4,9,5,6,3,9,6,2,1,3,2,5.49,59.14,10.65,3.82,0.81,1.78,1.07,0.68,6.64,5.67,5.36,0,0,0,0,0,0,5.33,C,
44,23,4,SemRel,unint,rel,sing,The canoe near the weathered oar,I,5,4,9,3,4,3,5,3,2,1,2,1,3.53,59.14,0.18,0.67,0.66,1.78,0.07,0.22,6.67,6.08,4.83,0,0,10,0,0,0.64,6,C,
44,24,4,SemRel,unint,rel,sing,The camera by the special lens,I,6,2,7,4,6,2,6,4,3,1,2,1,56.9,1212.84,148.2,4.67,1.76,3.08,2.17,0.75,6.75,6.58,4.83,2.5,0,20,0.32,0,0.93,5.5,U,
56,1,8,SemRel,unint,unrel,plur,The envelope by the photo albums,I,8,2,5,6,7,2,4,6,3,1,2,2,10.04,1212.84,22.82,2.33,1.04,3.08,1.38,0.52,2.83,2.17,1.92,0,0,0,0,0,0,4.58,C,
56,2,8,SemRel,unint,unrel,plur,The cake by the candy figurines,I,4,2,5,9,3,2,5,9,1,1,2,3,44.84,1212.84,35.55,0.49,1.66,3.08,1.56,0.17,3.92,3.58,3.5,0,0,0,0,0,0,5.55,P,
56,3,8,SemRel,unint,unrel,plur,The hammer by the rigid pegs,I,6,2,5,4,5,2,5,4,2,1,2,1,10.18,1212.84,1.86,0.25,1.05,3.08,0.46,0.1,5.08,4.08,4.33,0,0,0,0,0,0,4.83,C,
56,4,8,SemRel,unint,unrel,sing,The coach near the disruptive teenager,A,5,4,10,8,4,3,9,7,1,1,3,3,29.33,59.14,0.43,6.92,1.48,1.78,0.16,0.9,4.25,2.58,3,0,0,0,0,0,0,5.08,U,
56,5,8,SemRel,unint,unrel,sing,The tent near the sturdy cushion,I,4,4,6,7,4,3,6,5,1,1,2,2,17.39,59.14,1.69,1.86,1.26,1.78,0.43,0.46,1.92,2.08,1.67,0,0,0,0,0,0,2.83,U,
56,6,8,SemRel,unint,unrel,sing,The dam by the musty factory,I,3,2,5,7,3,2,5,7,1,1,2,3,5.29,1212.84,0.49,2.31,0.8,3.08,0.17,0.52,2,3.33,2.5,0,5,0,0,0.45,0,4.17,U,
56,8,8,SemRel,unint,rel,plur,The fortress near the ancient walls,I,8,4,7,5,7,3,6,4,2,1,2,1,3.37,59.14,21.61,24.16,0.64,1.78,1.35,1.4,6.25,6.33,4.58,0,0,0,0,0,0,5.5,C,
56,9,8,SemRel,unint,rel,plur,The butler near the selfish millionaires,A,6,4,7,12,6,3,6,10,2,1,2,3,6.8,59.14,15.94,1.76,0.89,1.78,1.23,0.44,5.83,4.58,3.33,0,0,0,0,0,0,4.92,U,
56,10,8,SemRel,unint,rel,sing,The vase near the vibrant flower,I,4,4,7,6,3,3,7,5,1,1,2,2,3.84,59.14,1.02,22.14,0.69,1.78,0.31,1.36,5.75,6.78,5.08,15,0,2.5,0.8,0,0.32,4,C,
56,11,8,SemRel,unint,rel,sing,The banana near the popular sundae,I,6,4,7,6,6,3,8,5,3,1,3,2,10.61,59.14,23.22,1.59,1.06,1.78,1.38,0.41,5.08,5.75,3.67,0,0,5,0,0,0.45,3.75,C,
56,12,8,SemRel,unint,rel,sing,The bodyguard near the nervous actress,A,9,4,7,7,8,3,6,6,3,1,2,2,5.71,59.14,67.04,15.96,0.83,1.78,1.83,1.23,4.83,4.09,4.58,0,0,0,0,0,0,6.75,C,
56,13,8,SemRel,integ,unrel,plur,The bicycle with the warped baskets,I,7,4,6,7,8,3,4,7,3,1,1,2,6.55,5044.84,1.35,1.61,0.88,3.7,0.37,0.42,4.58,3,5,0,0,0,0,0,0,4.58,C,
56,14,8,SemRel,integ,unrel,plur,The caddy for the charismatic celebrities,A,5,3,11,11,4,3,10,10,2,1,4,4,2.73,6749.25,0.8,7.27,0.57,3.83,0.26,0.92,2.25,1.17,3,0,0,0,0,0,0,5.17,C,
56,15,8,SemRel,integ,unrel,plur,The church with the giant driveways,I,6,4,5,9,6,3,5,7,1,1,2,2,68.73,5044.84,20.18,0.2,1.84,3.7,1.33,0.08,1.92,2.42,3.08,0,0,0,0,0,0,5,U,
56,16,8,SemRel,integ,unrel,sing,The eraser for the novelty pen,I,6,3,7,3,6,3,7,3,3,1,3,1,1,6749.25,1.67,23.9,0.3,3.83,0.43,1.4,4.33,3.33,4.92,0,2.5,2.5,0,0.32,0.32,4.33,U,
56,17,8,SemRel,integ,unrel,sing,The waitress for the impatient senior,A,8,3,9,6,6,3,8,5,2,1,3,2,9.67,6749.25,4.04,0.71,1.03,3.83,0.7,0.23,1.17,2.08,2.83,0,0,0,0,0,0,5,U,
56,18,8,SemRel,integ,unrel,sing,The table for the antique lamp,I,5,3,7,4,5,3,5,4,2,1,2,1,105.2,6749.25,4.35,12.82,2.03,3.83,0.73,1.14,5,5,4.08,0,0,10,0,0,0.64,5.92,U,
